"Hillnumber","Hillname","_Section","ParentMa","ParentSMC","Metres","Feet","Gridref","Gridref10","Colgridref","Colheight","Drop","Feature","Observations","Survey","Revision","Comments","Map","Map25","Xcoord","Ycoord","Latitude","Longitude","GridrefXY","Country","Tumponly","MVNumber","classification"
2069,"Manod Mawr North Top",30.4,2068,NULL,658,2159,"SH727458","SH 72744 45850","SH728453",593,65,"cairn","rock 10m W is just higher than visible base of cairn's west side","Abney level","2001-10-28 00:00:00",NULL,"115","OL18E OL18W",272741,345847,52.9948,-3.897528,"SH7274145847","W",0,NULL,"{Sim,Hew,N}"
2070,"Waun Garnedd-y-Filiast",30.4,2065,NULL,650.9,2135,"SH874452","SH 87405 45248","SH873450",635.8,15.1,"small cairn W of fence",NULL,"Leica NA730/Leica GS15","2018-09-17 00:00:00",NULL,"116","OL18E",287402,345245,52.992675,-3.678983,"SH8740245245","W",0,NULL,"{N}"
2071,"Carnedd Llechwedd-llyfn [Llechwedd-llyfn]",30.4,2065,NULL,643,2110,"SH857444","SH 85785 44463","SH860449",618,25,"small cairn",NULL,NULL,"2016-03-17 00:00:00","large scale mapping shows alternative 643m summit at SH857446","124 125","OL18E",285782,344460,52.985278,-3.70283,"SH8578244460","W",0,NULL,"{N,sSim}"
2072,"Diffwys West Top",30.4,2056,NULL,643.1,2110,"SH648229","SH 64824 22932","SH 6520 2299",621.4,21.7,"a few stones about 40m N of fence",NULL,"Leica NA730/Trimble GeoXH 6000","2015-06-23 00:00:00",NULL,"124","OL18W",264821,322928,52.786964,-4.005925,"SH6482122928","W",0,NULL,"{N,sSim}"
2073,"Y Garn",30.4,NULL,NULL,629,2064,"SH702230","SH 70276 23030","SH680242",314,315,"cairn",NULL,NULL,"2012-12-10 00:00:00",NULL,"124","OL18W",270273,323026,52.789183,-3.925169,"SH7027323026","W",0,NULL,"{Ma,Sim,Hew,N}"
2074,"Moel Ysgyfarnogod",30.4,NULL,NULL,623,2044,"SH658345","SH 65845 34594","SH658300",443,180,"large cairn by trig point",NULL,"obvious summit","2020-01-05 00:00:00","Dropped from Trail 100 list Jan 2020","124","OL18W",265842,334590,52.891992,-3.995593,"SH6584234590","W",0,NULL,"{Ma,Sim,Hew,N}"
2075,"Moel Penamnen",30.4,2068,NULL,628.3,2061,"SH716483","SH 71630 48363","SH731467",490,138,"no feature: 6m N of old trig point base","rock just W of trig point base is 3cm lower","Abney level/Leica RX1250","2017-12-13 00:00:00",NULL,"115","OL18E",271627,348360,53.017111,-3.915115,"SH7162748360","W",0,NULL,"{Hu,Sim,Hew,N}"
2076,"Gallt y Daren",30.4,2057,NULL,619.4,2032,"SH778344","SH 77858 34470","SH792361",506,113,"rocky outcrop",NULL,"Leica 530","2018-12-08 00:00:00","Bridge's name Foel Boeth","124","OL18E OL23E",277855,334467,52.893747,-3.817086,"SH7785534467","W",0,NULL,"{Hu,Sim,Hew,N}"
2077,"Foel Boeth",30.4,2057,NULL,615.4,2019,"SH779342","SH 77976 34207","SH 7790 3425",598.6,16.8,"small rock 8m SW of pile of stones","7m NE of fence; knoll 50m SW is 0.46m lower","Leica NA730/Leica 530","2018-12-08 00:00:00",NULL,"124","OL18E OL23E",277973,334204,52.891411,-3.815235,"SH7797334204","W",0,NULL,"{N}"
2078,"Foel Penolau",30.4,2074,NULL,614.4,2016,"SH661348","SH 66187 34835","SH 6609 3473",582.5,31.9,"rock","ground on SW top at SH 66148 34777 of equal height","Abney level/Trimble GeoXH 6000","2018-12-08 00:00:00",NULL,"124","OL18W",266184,334831,52.894242,-3.990612,"SH6618434831","W",0,NULL,"{Sim,Hew,N}"
2079,"Foel Goch",30.4,NULL,NULL,611,2005,"SH953422","SH 95382 42295","SH917439",337,274,"ground 1m N of trig point",NULL,"obvious summit","2001-10-28 00:00:00",NULL,"125","OL18E",295379,342292,52.967758,-3.55923,"SH9537942292","W",0,NULL,"{Ma,Sim,Hew,N}"
2083,"Aran Fawddwy",30.5,NULL,NULL,905,2969,"SH862223","SH 86272 22387","SH850267",235,670,"trig point",NULL,"obvious summit","2004-01-28 00:00:00",NULL,"124 125","OL23E",286269,322383,52.787016,-3.687855,"SH8626922383","W",0,NULL,"{Ma,Sim,Hew,N,CoH}"
2084,"Aran Benllyn",30.5,2083,NULL,885,2904,"SH867242","SH 86723 24273","SH862225",835,50,"rock 35m S of cairn","rock is 0.5m higher than ground by cairn (SH 86721 24313)","Abney level","2016-10-11 00:00:00",NULL,"124 125","OL23E",286720,324269,52.804058,-3.681824,"SH8672024269","W",0,NULL,"{Sim,Hew,N}"
2085,"Erw y Ddafad-ddu",30.5,2083,NULL,872,2861,"SH864233","SH 86478 23388","SH864237",834,38,"cairn",NULL,NULL,"2020-04-14 00:00:00",NULL,"124 125","OL23E",286475,323384,52.796054,-3.68515,"SH8647523384","W",0,NULL,"{Sim,Hew,N}"
2087,"Cadair Berwyn",30.5,NULL,NULL,832,2730,"SJ071323","SJ 07165 32355","SJ017305",486,346,"rocky outcrop",NULL,"obvious summit/Trimble GeoXH 6000","2020-01-05 00:00:00","Higher than Moel Sych (hill 2089) which was formerly thought to be the historic Denbighshire County Top. Summit surveyed as 832.0 m. Dropped from Trail 100 list Jan 2020","125","255",307163,332351,52.8806,-3.380993,"SJ0716332351","W",0,NULL,"{Ma,Sim,Hew,N,CoH,CoA}"
2088,"Cadair Berwyn North Top",30.5,2087,NULL,827,2713,"SJ072327","SJ 07223 32719","SJ071325",808,19,"trig point",NULL,"obvious summit","2013-11-23 00:00:00",NULL,"125","255",307221,332715,52.883881,-3.380235,"SJ0722132715","W",0,NULL,"{N}"
2089,"Moel Sych",30.5,2087,NULL,826.7,2712,"SJ066318","SJ 06631 31862","SJ 0694 3214",792.7,33.9,"rock by cairn",NULL,"obvious summit/Trimble GeoXH 6000","2014-10-19 00:00:00","Formerly thought to be historic Denbighshire County Top, but Cadair Berwyn (hill 2087) is higher.","125","255",306629,331858,52.876077,-3.388784,"SJ0662931858","W",0,NULL,"{Sim,Hew,N,CoH,CoU}"
2090,"Cadair Bronwen",30.5,2087,NULL,783.4,2570,"SJ077346","SJ 07754 34665","SJ 0760 3408",710.1,73.3,"cairn",NULL,"obvious summit/Trimble GeoXH 6000","2014-10-19 00:00:00",NULL,"125","255",307752,334661,52.901461,-3.372899,"SJ0775234661","W",0,NULL,"{Sim,Hew,N}"
2091,"Glasgwm",30.5,NULL,NULL,779,2556,"SH836194","SH 83677 19459","SH 8413 1999",564,215,"large conical cairn",NULL,"obvious summit","2015-09-12 00:00:00","Trimble Geo XH6000 survey carried out on bwlch only","124 125","OL23E",283674,319455,52.760153,-3.725275,"SH8367419455","W",0,NULL,"{Ma,Sim,Hew,N}"
2092,"Tomle",30.5,2087,NULL,740.6,2430,"SJ085335","SJ 08531 33532","SJ 0808 3371",719.7,20.9,"ground 1m from small cairn near fence corner","ground 60m NE at SJ 08564 33580 is 0.5m lower","Trimble GeoXH 6000","2014-12-21 00:00:00",NULL,"125","255",308529,333528,52.891412,-3.361032,"SJ0852933528","W",0,NULL,"{N,sSim}"
2094,"Moel yr Ewig",30.5,2087,NULL,694.7,2279,"SJ080317","SJ 08070 31780","SJ 0774 3182",670.5,24.2,"no feature: ground c 6m from fence","ground 75m ESE at SJ 08136 31745 is 0.7m lower","Abney level/Trimble GeoXH 6000","2014-10-19 00:00:00",NULL,"125","255",308068,331776,52.875588,-3.367386,"SJ0806831776","W",0,NULL,"{N,sSim}"
2095,"Foel Wen",30.5,2087,NULL,690.6,2266,"SJ099334","SJ 09936 33412","SJ 0938 3362",631.7,58.9,"small wooden stake",NULL,"Leica NA730/Leica GS15/Trimble GeoXH 6000","2015-04-19 00:00:00",NULL,"125","255",309934,333408,52.890571,-3.340121,"SJ0993433408","W",0,NULL,"{Sim,Hew,N}"
2096,"Foel Hafod-fynydd",30.5,2083,NULL,689,2260,"SH877227","SH 87764 22719","SH870226",605,84,"no feature: grass with scattering of slate 15m NE of cairn",NULL,NULL,"2001-10-28 00:00:00",NULL,"124 125","OL23E",287761,322715,52.790312,-3.665855,"SH8776122715","W",0,NULL,"{Sim,Hew,N}"
2097,"Foel Wen South Top",30.5,2087,NULL,687.9,2257,"SJ102330","SJ 10235 33049","SJ 1010 3326",666.3,21.6,"ground 3m N of small rock",NULL,"Leica NA730/Leica GS15/Trimble GeoXH 6000","2015-04-19 00:00:00",NULL,"125","255",310233,333045,52.887359,-3.335578,"SJ1023333045","W",0,NULL,"{N,sSim}"
2098,"Pen y Brynfforchog [Pen y Brynnfforchog]",30.5,2091,NULL,684.9,2247,"SH817179","SH 81780 17965","SH822185",614,71,"small pile of stones","NW of fence junction","Trimble GeoXH 6000","2018-12-08 00:00:00","Bridge top moved to hill 19458","124 125","OL23E",281777,317961,52.746316,-3.752834,"SH8177717961","W",0,NULL,"{Sim,Hew,N}"
2099,"Gwaun y Llwyni",30.5,2083,NULL,685,2247,"SH857204","SH 85724 20489","SH856207",642,43,"grassy knoll with a few loose stones",NULL,NULL,"2001-10-28 00:00:00",NULL,"124 125","OL23E",285721,320485,52.769845,-3.695314,"SH8572120485","W",0,NULL,"{Sim,Hew,N}"
2101,"Mynydd Tarw",30.5,2087,NULL,679.4,2229,"SJ112324","SJ 11269 32445","SJ 1075 3269",635.2,44.2,"windshelter","ground beneath windshelter might be tumulus","Trimble GeoXH 6000","2014-10-19 00:00:00",NULL,"125","255",311267,332441,52.882102,-3.32005,"SJ1126732441","W",0,NULL,"{Sim,Hew,N}"
2102,"Godor",30.5,2087,NULL,679.2,2228,"SJ094307","SJ 09435 30752","SJ 0908 3101",654.2,24.9,"small white cairn",NULL,"Trimble GeoXH 6000","2014-10-19 00:00:00",NULL,"125","255",309433,330748,52.866581,-3.346824,"SJ0943330748","W",0,NULL,"{N,sSim}"
2103,"Godor North Top",30.5,2087,NULL,675,2215,"SJ089311","SJ 08924 31124","SJ086312",658,17,"no feature",NULL,NULL,"2012-08-15 00:00:00",NULL,"125","255",308922,331120,52.869838,-3.354517,"SJ0892231120","W",0,NULL,"{N}"
2104,"Esgeiriau Gwynion [Foel Rhudd]",30.5,NULL,NULL,671,2201,"SH889236","SH 88950 23643","SH884229",505,166,"small cairn of white quartz",NULL,"Abney level","2001-10-28 00:00:00",NULL,"124 125","OL23E",288947,323639,52.79886,-3.64859,"SH8894723639","W",0,NULL,"{Ma,Sim,Hew,N}"
2106,"Post Gwyn",30.5,2087,NULL,665,2182,"SJ047293","SJ 04800 29402","SJ035301",605,60,"a few stones","cairn on knoll 65m SE at SJ 04860 29375 is 1.5m lower","Abney level","2007-03-10 00:00:00",NULL,"125","255",304798,329398,52.853648,-3.415262,"SJ0479829398","W",0,NULL,"{Sim,Hew,N}"
2107,"Y Groes Fagl",30.5,19413,NULL,659,2162,"SH988290","SH 98852 29006","SH 9882 2876",643.5,15.5,"ground 3m S of pole","ground 20m N and 20m S about 30cm lower","Leica NA730/Trimble GeoXH 6000","2014-07-17 00:00:00",NULL,"125","255",298849,329002,52.849004,-3.50344,"SH9884929002","W",0,NULL,"{N}"
2108,"Foel Rhudd",30.5,2104,NULL,659,2162,"SH895239","SH 89566 23952","SH893238",644,15,"three sunken white quartz stones",NULL,"Abney level","2001-10-28 00:00:00",NULL,"124 125","OL23E",289563,323948,52.801764,-3.639561,"SH8956323948","W",0,NULL,"{N}"
2109,"Foel Cwm-Sian Llwyd [Foel Cwm Sian Llwyd]",30.5,19413,NULL,648,2126,"SH995313","SH 99588 31387","SH990298",591,57,"trig point",NULL,"Abney level","2012-12-10 00:00:00",NULL,"125","255",299585,331383,52.870539,-3.493249,"SH9958531383","W",0,NULL,"{Sim,Hew,N}"
2110,"Pen y Boncyn Trefeilw",30.5,19413,NULL,646,2119,"SH962283","SH 96235 28322","SH973278",589,57,"cairn on grassy knoll in field","about 10cm higher than pile of stones 38m away at SH 96265 28345","Abney level","2001-10-28 00:00:00",NULL,"125","OL23E",296232,328318,52.842359,-3.542068,"SH9623228318","W",0,NULL,"{Sim,Hew,N}"
2112,"Gwaun Lydan",30.5,2083,NULL,632,2073,"SH880211","SH 88063 21197","SH877211",615,17,"quartzite cairn","summit area very flat",NULL,"2012-08-15 00:00:00",NULL,"124 125","OL23E",288060,321193,52.776697,-3.660903,"SH8806021193","W",0,NULL,"{N}"
2113,"Moel Fferna",30.5,2087,NULL,630,2067,"SJ116397","SJ 11683 39800","SJ109380",525,105,"wind shelter","ground 60m SE is 1.5m lower and ground 150m W is at least 3m lower","Abney level","2009-11-20 00:00:00",NULL,"125","255",311681,339797,52.948271,-3.315901,"SJ1168139797","W",0,NULL,"{Hu,Sim,Hew,N}"
2114,"Stac Rhos",30.5,19413,NULL,630,2067,"SH969279","SH 96918 27930","SH965280",605,25,"tiny cairn","SH 96861 27889, SH 96879 27860, SH96886 27954 lower by at least 20cm","Leica Runner 20","2007-03-10 00:00:00",NULL,"125","OL23E 239",296916,327926,52.838968,-3.531807,"SH9691627926","W",0,NULL,"{N,sSim}"
2115,"Foel y Geifr",30.5,2104,NULL,626,2054,"SH937275","SH 93712 27529","SH918246",516,110,"rock 1.5m from trig point",NULL,"obvious summit","2001-10-28 00:00:00",NULL,"125","OL23E",293709,327525,52.834741,-3.579253,"SH9370927525","W",0,NULL,"{Hu,Sim,Hew,N}"
2116,"Moel y Cerrig Duon",30.5,2104,NULL,625,2051,"SH923241","SH 92353 24152","SH913232",545,80,"cairn",NULL,"Abney level","2001-10-28 00:00:00",NULL,"125","OL23E",292350,324148,52.804125,-3.598304,"SH9235024148","W",0,NULL,"{Sim,Hew,N}"
2117,"Moel yr Henfaes [Pen Bwlch Llandrillo Top]",30.5,2087,NULL,621,2037,"SJ089369","SJ 08946 36948","SJ091365",586,35,"cairn on rocky outcrop","large boulder by fence junction 100m E at SJ 09049 36946 is nearly as high","Abney level","2001-10-28 00:00:00",NULL,"125","255",308944,336944,52.922182,-3.355823,"SJ0894436944","W",0,NULL,"{Sim,Hew,N}"
2118,"Waun Camddwr",30.5,2083,NULL,621.7,2040,"SH847205","SH 84729 20554","SH 85069 20707",606.2,15.5,"rounded rock","rock 190m NNE at SH 84832 20712 is equal in height; cairn on outcrop 50m S at SH 84717 20506 is 0.3m lower","Leica NA730/Leica GS15/Trimble GeoXH 6000","2015-05-30 00:00:00",NULL,"124 125","OL23E",284726,320550,52.770218,-3.710079,"SH8472620550","W",0,NULL,"{N}"
2119,"Pen yr Allt Uchaf",30.5,2083,NULL,630.1,2067,"SH870196","SH 87100 19667","SH 8752 2053",570.2,59.9,"no feature: grass","flat summit area","Leica RX1250","2016-12-04 00:00:00",NULL,"124 125","OL23E",287097,319663,52.762748,-3.674645,"SH8709719663","W",0,NULL,"{Sim,Hew,N}"
2121,"Cefn Gwyntog",30.5,19413,NULL,614,2014,"SH975266","SH 97599 26696","SH 9749 2733",587.3,26.7,"no feature","Cairns at SH 97603 26593 and SH 97659 26624 are both lower",NULL,"2020-03-31 00:00:00",NULL,"125","OL23E 239",297597,326692,52.828008,-3.521313,"SH9759726692","W",0,NULL,"{N,sSim}"
2122,"Llechwedd Du",30.5,2104,NULL,614,2014,"SH893223","SH 89402 22397","SH893230",579,35,"small cairn of white quartz",NULL,"Abney level","2020-04-14 00:00:00",NULL,"124 125","OL23E",289399,322393,52.787757,-3.641467,"SH8939922393","W",0,NULL,"{Sim,Hew,N}"
2123,"Foel Goch",30.5,2104,NULL,612.7,2010,"SH943290","SH 94341 29084","SH943287",567,46,"no feature","ground 9m N of pile of stones","Abney level/Leica 530","2015-11-25 00:00:00",NULL,"125","OL23E",294338,329080,52.848834,-3.570431,"SH9433829080","W",0,NULL,"{Sim,Hew,N}"
2152,"Craig-y-llyn",30.6,2137,NULL,622,2041,"SH665119","SH 66538 11992","SH669127",486,136,"no feature: ground 5m from fence","several points for 20m to SW are just lower","Abney level","2009-11-20 00:00:00",NULL,"124","OL23W",266535,311988,52.689102,-3.976073,"SH6653511988","W",0,NULL,"{Hu,Sim,Hew,N}"
2124,"Trum y Gwragedd [Trum y Gwrgedd]",30.5,2104,NULL,611.1,2005,"SH941284","SH 94117 28404","SH939278",585.1,26,"no feature: ground a few metres W of fence","flat featureless summit area","Abney level/Leica 530","2009-06-08 00:00:00","Alternative name appears on 1:25k map and is a mis-spelling","125","OL23E",294114,328400,52.84268,-3.573535,"SH9411428400","W",0,NULL,"{N,sSim}"
2137,"Cadair Idris - Penygadair",30.6,NULL,NULL,892.7,2929,"SH711130","SH 71117 13039","SH757139",285,608,"rock near trig point",NULL,"Leica RX1250","2017-12-13 00:00:00",NULL,"124","OL23W",271114,313035,52.699618,-3.908777,"SH7111413035","W",0,NULL,"{Ma,Sim,Hew,N}"
2138,"Mynydd Moel",30.6,2137,NULL,863,2831,"SH727136","SH 72750 13682","SH720134",796,67,"rocky outcrop",NULL,NULL,"2001-10-28 00:00:00",NULL,"124","OL23W",272747,313678,52.705782,-3.884874,"SH7274713678","W",0,NULL,"{Sim,Hew,N}"
2139,"Cyfrwy",30.6,2137,NULL,811,2661,"SH703133","SH 70395 13337","SH705130",779,32,"ground just S of shelter",NULL,NULL,"2020-04-14 00:00:00",NULL,"124","OL23W",270392,313333,52.702123,-3.919573,"SH7039213333","W",0,NULL,"{Sim,Hew,N}"
2140,"Craig Cwm Amarch",30.6,2137,NULL,791.9,2598,"SH710121","SH 71065 12130","SH 7092 1245",712.7,79.2,"rock",NULL,"Leica RX1250","2017-12-13 00:00:00",NULL,"124","OL23W",271062,312126,52.691439,-3.90919,"SH7106212126","W",0,NULL,"{Sim,Hew,N}"
2143,"Gau Graig",30.6,2137,NULL,683.7,2243,"SH743140","SH 74376 14028","SH 7391 1377",658.3,25.4,"outcrop 100m SW of cairn","outcrop is 0.69m higher than pointed rock by cairn (SH 74444 14104) and 0.18m higher than rock 70m NE at SH 74421 14079","Leica NA730/Trimble GeoXH 6000","2015-05-07 00:00:00","Simm deleted May 2015","124","OL23W",274373,314024,52.709271,-3.860953,"SH7437314024","W",0,NULL,"{N,sSim}"
2145,"Maesglase",30.6,NULL,NULL,678.5,2226,"SH817150","SH 81732 15037","SH802170",360.4,318.1,"ground 2m E of cairn","ground 45m SW at SH 81700 15006 is about as high","Leica NA730/Leica RX1250/Trimble GeoXH 6000","2017-02-07 00:00:00","Former Marilyn, Hewitt and Nuttall summit is hill 2146","124 125","OL23E",281729,315033,52.719996,-3.752489,"SH8172915033","W",0,NULL,"{Ma,Sim,Hew,N}"
2147,"Waun-oer",30.6,2145,NULL,670,2198,"SH785147","SH 78556 14785","SH 8011 1440",549.6,120,"rock within 1m of trig point",NULL,"obvious summit","2016-12-04 00:00:00","col surveyed with Leica RX1250","124","OL23E",278553,314781,52.717028,-3.799394,"SH7855314781","W",0,NULL,"{Hu,Sim,Hew,N}"
2148,"Tarren y Gesail",30.6,NULL,NULL,667,2188,"SH710058","SH 71053 05894","SH738093",204,463,"no feature","summit is 50m E of trig point",NULL,"2007-06-30 00:00:00",NULL,"124","OL23W",271050,305890,52.635406,-3.906926,"SH7105005890","W",0,NULL,"{Ma,Sim,Hew,N}"
2149,"Craig-las [Tyrrau Mawr]",30.6,2137,NULL,661,2169,"SH677135","SH 67708 13561","SH691135",560,101,"no feature: ground 10m from fence junction","ground 8m W is just lower","Abney level","2020-02-09 00:00:00",NULL,"124","OL23W",267705,313557,52.703485,-3.959405,"SH6770513557","W",0,NULL,"{Hu,Sim,Hew,N}"
2150,"Cribin Fawr",30.6,2145,NULL,658.8,2161,"SH794152","SH 79455 15289","SH789150",566,93,"no feature",NULL,"Leica NA730/Leica RX1250","2016-12-04 00:00:00",NULL,"124","OL23E",279452,315285,52.721757,-3.786277,"SH7945215285","W",0,NULL,"{Sim,Hew,N,sHu}"
2151,"Tarrenhendre",30.6,NULL,NULL,634,2080,"SH682041","SH 68284 04156","SH703046",431,203,"cairn on peat hag",NULL,NULL,"2012-12-10 00:00:00","B&L gives GR of cairn SH683039","135","OL23W",268281,304152,52.619125,-3.947125,"SH6828104152","W",0,NULL,"{Ma,Sim,Hew,N}"
2161,"Pumlumon Fawr [Plynlimon]",31.1,NULL,NULL,752,2467,"SN789869","SN 78972 86945","SN870298",226,526,"trig point",NULL,NULL,"2011-12-21 00:00:00",NULL,"135","213",278969,286941,52.466962,-3.783052,"SN7896986941","W",0,NULL,"{Ma,Sim,Hew,N,CoH,CoU}"
2162,"Pen Pumlumon Arwystli",31.1,2161,NULL,741,2431,"SN814877","SN 81495 87755","SN808873",677,64,"southerly of two ancient cairn","northerly cairn is 40m away at SN 81520 87785",NULL,"2007-03-10 00:00:00",NULL,"135 136","214W",281492,287751,52.474794,-3.746219,"SN8149287751","W",0,NULL,"{Sim,Hew,N}"
2163,"Pen Pumlumon Llygad-bychan [Plynlimon East Top]",31.1,2161,NULL,727,2385,"SN798871","SN 79902 87159","SN794870",691,36,"cairn","ground 80m S at SN 79908 87076 is as high","Abney level","2001-10-28 00:00:00",NULL,"135","213",279899,287154,52.46909,-3.769446,"SN7989987154","W",0,NULL,"{Sim,Hew,N}"
2164,"Y Garn [Drum Peithnant]",31.1,2161,NULL,684,2244,"SN775851","SN 77565 85153","SN785853",628,56,"cairn",NULL,"obvious summit","2001-10-28 00:00:00",NULL,"135","213",277562,285149,52.450546,-3.803095,"SN7756285149","W",0,NULL,"{Sim,Hew,N}"
2165,"Pumlumon Fach",31.1,2161,NULL,664,2178,"SN787874","SN 78727 87438","SN787874",645,19,"small cairn",NULL,NULL,"2015-01-12 00:00:00","Surveyed by the Nuttalls as having 19.5m drop","135","213",278724,287434,52.471338,-3.786836,"SN7872487434","W",0,NULL,"{N}"
2178,"Great Rhos",31.2,NULL,NULL,660,2165,"SO182638","SO 18220 63902","SO 1777 7180",281.3,379,"trig point",NULL,"Abney level","2018-08-02 00:00:00",NULL,"148","200E",318218,263897,52.267141,-3.199842,"SO1821863897","W",0,NULL,"{Ma,Sim,Hew,N,CoH}"
2179,"Black Mixen",31.2,2178,NULL,650,2133,"SO196643","SO 19652 64402","SO188650",605,45,"trig point",NULL,"obvious summit","2001-10-28 00:00:00",NULL,"148","200E",319650,264397,52.271846,-3.178981,"SO1965064397","W",0,NULL,"{Sim,Hew,N}"
2181,"Bache Hill",31.2,2178,NULL,610,2001,"SO212636","SO 21287 63612","SO204637",569,41,"no feature 110m W of tumulus","tumulus summit with trig point is of similar height but unnatural",NULL,"2021-06-27 00:00:00",NULL,"137 148","201N",321284,263607,52.264982,-3.15484,"SO2128463607","W",0,NULL,"{Sim,Hew,N}"
2203,"Drygarn Fawr",31.3,NULL,NULL,645,2116,"SN862584","SN 86290 58414","SN854757",388,257,"large cairn 65m NE of trig point","trig point is at SN 86225 58380; note cairn 500m NE at SN 86760 58580 is lower",NULL,"2012-12-10 00:00:00",NULL,"147","187N 200W",286287,258409,52.212142,-3.665713,"SN8628758409","W",0,NULL,"{Ma,Sim,Hew,N}"
2204,"Gorllwyn",31.3,2203,NULL,613,2011,"SN917590","SN 91795 59052","SN893583",525,88,"trig point in shelter",NULL,"obvious summit","2012-12-10 00:00:00",NULL,"147","200W",291792,259047,52.218985,-3.585379,"SN9179259047","W",0,NULL,"{Sim,Hew,N}"
2205,"Pen y Garn",31.3,NULL,NULL,611,2005,"SN798771","SN 79857 77148","SN796839",417,194,"no feature: ground by gate","embedded rock by trig point 65m S at SN 79847 77084 is 0.1m lower","Abney level/Trimble GeoXH 6000","2014-10-19 00:00:00",NULL,"135 147","213",279854,277143,52.379122,-3.766508,"SN7985477143","W",0,NULL,"{Ma,Sim,Hew,N}"
2226,"Pen y Fan",32.1,NULL,NULL,886,2907,"SO012215","SO 01210 21588","SH 9315 0000",214.3,672,"large cairn",NULL,NULL,"2021-03-21 00:00:00",NULL,"160","OL12E",301208,221583,51.884031,-3.436765,"SO0120821583","W",0,NULL,"{Ma,Sim,Hew,N,CoH,CoU,CoA}"
2227,"Corn Du",32.1,2226,NULL,871.5,2859,"SO007213","SO 00720 21335","SO 0091 2139",843.3,28.2,"large cairn",NULL,NULL,"2020-03-31 00:00:00",NULL,"160","OL12E",300718,221330,51.88167,-3.443809,"SO0071821330","W",0,NULL,"{N,sSim}"
2228,"Craig Gwaun Taf [Duwynt]",32.1,2226,NULL,826.4,2711,"SO005207","SO 00553 20725","SO 0056 2086",810.3,16.1,"knoll by edge of crag",NULL,"Trimble GeoXH 6000","2016-11-15 00:00:00","promoted to Nuttall November 2016","160","OL12E",300551,220720,51.876157,-3.446059,"SO0055120720","W",0,NULL,"{N}"
2229,"Waun Fach",32.1,NULL,NULL,811,2661,"SO215299","SO 21553 29989","SO 1120 2604",189.1,622,"no feature","ground 20m NE of trig point base. Note trig point (SO 21540 29975) no longer exists.","Abney level","2016-12-23 00:00:00",NULL,"161","OL13N",321551,229984,51.962786,-3.143186,"SO2155129984","W",0,NULL,"{Ma,Sim,Hew,N}"
2231,"Pen y Gadair Fawr",32.1,2229,NULL,800,2625,"SO229287","SO 22946 28763","SO226293",753,47,"cairn",NULL,"obvious summit","2001-10-28 00:00:00",NULL,"161","OL13N",322944,228758,51.951961,-3.12264,"SO2294428758","W",0,NULL,"{Sim,Hew,N}"
2232,"Cribyn",32.1,2226,NULL,795,2608,"SO023213","SO 02392 21317","SO019211",665,130,"small cairn",NULL,NULL,"2001-10-28 00:00:00",NULL,"160","OL12E",302390,221312,51.881803,-3.419521,"SO0239021312","W",0,NULL,"{Hu,Sim,Hew,N}"
2233,"Waun Rydd",32.1,NULL,NULL,769.2,2524,"SO062206","SO 06214 20650","SO031205",599,170,"grassy knoll","cairn 35m N at SO 06212 20687 is 0.6m lower; ground 100m S at SO 06227 20551 is 0.7m lower","Trimble GeoXH 6000","2014-10-19 00:00:00",NULL,"160","OL12E",306212,220645,51.876465,-3.363829,"SO0621220645","W",0,NULL,"{Ma,Sim,Hew,N}"
2234,"Fan Hir",32.1,5603,NULL,760,2493,"SN830209","SN 83092 20927","SN 8289 2130",717.3,42.7,"no feature: grass",NULL,"Leica NA730/Trimble GeoXH 6000","2014-10-04 00:00:00",NULL,"160","OL12W",283089,220922,51.874583,-3.699667,"SN8308920922","W",0,NULL,"{Sim,Hew,N}"
2235,"Bwlch y Ddwyallt [Gwaun Cerrig Llwydion]",32.1,2233,NULL,754,2474,"SO055203","SO 05511 20383","SO057205",736,18,"small mound by path 25m NE of cairn","ground near cairn at SO 05488 20372 is lower","Abney level","2017-05-29 00:00:00",NULL,"160","OL12E",305509,220378,51.873946,-3.373965,"SO0550920378","W",0,NULL,"{N}"
2236,"Bannau Sir Gaer - Picws Du",32.1,5603,NULL,749.1,2458,"SN811218","SN 81174 21864","SN 8163 2172",655.9,93.2,"cairn",NULL,"obvious summit/Trimble GeoXH 6000","2014-10-04 00:00:00",NULL,"160","OL12W",281171,221859,51.882598,-3.727838,"SN8117121859","W",0,NULL,"{Sim,Hew,N,sHu}"
2237,"Fan Fawr",32.1,NULL,NULL,734,2408,"SN969193","SN 96989 19369","SN982203",439,295,"no feature: 6m WNW of cairn",NULL,"Abney level","2001-10-28 00:00:00",NULL,"160","OL12E",296987,219364,51.863322,-3.497408,"SN9698719364","W",0,NULL,"{Ma,Sim,Hew,N}"
2238,"Fan Gyhirych",32.1,NULL,NULL,725,2379,"SN880191","SN 88057 19124","SN924196",445,280,"no feature 50m N of trig point","trig point is at SN 88058 19077 and is lower; large cairn 30m N at SN 88065 19155 is also lower","Abney level","2001-10-28 00:00:00",NULL,"160","OL12W",288054,219119,51.859398,-3.626991,"SN8805419119","W",0,NULL,"{Ma,Sim,Hew,N}"
